零件,数量,特征,工序,可加工机器及加工时间,,,,,,,,,,,,,,,,,,,
,,,,C1,C2,C3,C4,L1,PM1,NYM1,WYM1,RCL1,RCL2,WX1,LX1,LX2,LX3,Z1,Z2,DHH1,XQG1,JC1,QG1
,,6.4通孔,8,,,,,,,,,,,,96,96,96,96,96,,,,
导向杆,4,右端面,1,5,5,5,5,,,,,,,,,,,,,,,,
,,35外圆面粗,2,234,234,234,234,,,,,,,,,,,,,,,,
,,右24外圆面,3,29,29,29,29,,,,,,,,,,,,,,,,
,,左24外圆面,4,56,56,56,56,,,,,,,,,,,,,,,,
,,20外圆面,5,10,10,10,10,,,,,,,,,,,,,,,,
,,M12,6,78,78,78,78,78,,,,,,,78,78,78,78,78,,,,
,,M20外螺纹,7,8,8,8,8,,,,,,,,,,,,,,,,
,,侧平面,8,,,,,,,,,,,,23,23,23,,,,,,
,,35外圆面精,9,,,,,,,,280,,,,,,,,,,,,
浮动连接座,2,左端面,1,14,14,14,14,,,,,,,,,,,,,,,,
,,右端面,2,68,68,68,68,300,,,,,,,300,300,300,,,,,,
,,60外圆面,3,47,47,47,47,,,,,,,,,,,,,,,,
,,50外圆面,4,10,10,10,10,,,,,,,,,,,,,,,,
,,矩形轮廓,5,105,105,105,105,,,,,,,,105,105,105,,,,,,
,,6.5通孔,6,,,,,,,,,,,,144,144,144,,,,,,
,,6通孔,7,,,,,,,,,,,,156,156,156,,,,,,
,,36沉孔,8,,,,,,,,,,,,168,168,168,,,,,,
,,15通孔,9,,,,,,,,,,,,96,96,96,96,96,,,,
过渡杆,2,右端面,1,18,18,18,,,,,,,,,,,,,,,,,
,,55圆柱面,2,54,54,54,,,,,,,,,,,,,,,,,
,,30圆柱面,3,60,60,60,60,252,,,,,,,252,252,252,,,,,,
,,侧平面,4,,,,,,,,,,,,30,30,30,,,,,,
,,15沉孔,5,,,,,,,,,,,,30,30,30,,,,,,
,,9通孔,6,,,,,,,,,,,,36,36,36,,,,,,
,,25孔,7,,,,,,,,,,,,450,450,450,,,,,,
,,M8,8,,,,,,,,,,,,27,27,27,,,,,,
卡簧压头,2,右端面,1,6,6,6,6,,,,,,,,,,,,,,,,
,,25圆柱面,2,,,,,,,,,,,,63,63,63,,,,,,
,,深孔,3,312,312,312,312,312,,,,,,,312,312,312,,,,,,
,,成形面,4,113,113,113,113,,,,,,,,,,,,,,,,
锁紧压杆,2,右端面,1,4,4,4,4,,,,,,,,,,,,,,,,
,,外圆面粗,2,69,69,69,69,,,,,,,,,,,,,,,,
,,左端面,3,4,4,4,4,,,,,,,,,,,,,,,,
,,侧平面,4,,,,,,,,,,,,17,17,17,,,,,,
,,外圆面精,5,,,,,,,,99,,,,,,,,,,,,
锁紧压块,2,右端面,1,6,6,6,6,,,,,,,,,,,,,,,,
,,11沉孔,2,,,,,,,,,,,,12,12,12,,,,,,
,,25沉孔,3,,,,,,,,,,,,57,57,57,,,,,,
,,6.6通孔,4,,,,,,,,,,,,,,39,39,39,39,39,,
预压杆,2,外圆粗,1,16,16,16,16,,,,,,,,,,,,,,,,
,,M8,2,18,18,18,18,,,,,,,,,,,,,,,,
,,左端面,3,3,3,3,3,,,,,,,,,,,,,,,,
,,侧平面,4,,,,,,,,,,,,6,6,6,,,,,,
,,M5,5,,,,,,,,,,,,,,120,120,120,120,120,,
,,18沉孔,6,,,,,,,,,,,,37,37,37,,,,,,
,,外圆精,7,,,,,,,,32,,,,,,,,,,,,
拉紧气缸接头,2,18外圆面,1,42,42,42,42,,,,,,,,,,,,,,,,
,,13外圆面,2,6,6,6,6,,,,,,,,,,,,,,,,
,,M8,3,15,15,15,15,,,,,,,,,,,,,,,,
,,12圆柱面,4,6,6,6,6,,,,,,,,,,,,,,,,
,,左端面,5,3,3,3,3,,,,,,,,,,,,,,,,
止转销,2,下端面,1,5,5,5,5,,,,,,,,,,,,,,,,
,,下凹槽,2,,,,,,,,,,,,23,23,23,,,,,,
,,16圆柱面粗,3,74,74,74,74,,,,,,,,,,,,,,,,
,,14圆柱面,4,27,27,27,27,,,,,,,,,,,,,,,,
,,12圆柱面,5,8,8,8,8,,,,,,,,,,,,,,,,
,,M12,6,6,6,6,6,,,,,,,,,,,,,,,,
,,16圆柱面精,7,,,,,,,,36,,,,,,,,,,,,
带锁气缸接头,2,右端面,1,3,3,3,3,,,,,,,,,,,,,,,,
,,外圆面粗,2,171,171,171,171,,,,,,,,,,,,,,,,
,,左端面,3,3,3,3,3,,,,,,,,,,,,,,,,
,,右侧平面,4,,,,,,,,,,,,6,6,6,,,,,,
,,左侧平面,5,,,,,,,,,,,,6,6,6,,,,,,
,,H7孔,6,,,,,,,,,,,,36,36,36,,,,,,
,,20外圆面精,7,,,,,,,,140,,,,,,,,,,,,
解锁推杆安装座,2,右端面,1,8,8,8,8,,,,,,,,,,,,,,,,
,,外圆面,2,113,113,113,113,,,,,,,,,,,,,,,,
,,左端面,3,8,8,8,8,,,,,,,,,,,,,,,,
,,孔,4,228,228,228,228,,,,,,,,,,,228,228,,,,
,,矩形轮廓,5,,,,,,,,,,,,90,90,90,,,,,,
,,11沉孔,6,,,,,,,,,,,,12,12,12,,,,,,
,,6.6通孔,7,,,,,,,,,,,,36,36,36,36,36,,,,
,,8.5槽,8,,,,,,,,,,,,15,15,15,36,36,,,,
抓具连接柱,2,右端面,1,6,6,6,6,,,,,,,,,,,,,,,,
,,58圆柱面,2,34,34,34,34,,,,,,,,,,,,,,,,
,,右25圆柱面,3,45,45,45,45,,,,,,,,,,,,,,,,
,,30圆柱面,4,150,150,150,150,,,,,,,,,,,,,,,,
,,左25圆柱面,5,45,45,45,45,,,,,,,,,,,,,,,,
,,左端面,6,3,3,3,3,,,,,,,,,,,,,,,,
,,左矩形轮廓,7,,,,,,,,,,,,75,75,75,,,,,,
,,右矩形轮廓,8,,,,,,,,,,,,75,75,75,,,,,,
,,左M8,9,,,,,,,,,,,,288,288,288,288,288,,,,
,,右25圆柱面精,10,,,,,,,,10,,,,,,,,,,,,
